Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
A,117.74,0.3152424,0.37,Buy,631016,36116245000,50.92415828,2.3271,16400,Health Technology
AAP,159.81,0.25721455,0.41,Buy,401656,10833988743,23.17803757,6.9015,67000,Retail Trade
AAPL,131.725,-0.11753109,-0.155,Buy,63589439,2239256072600,40.36978083,3.2994,147000,Electronic Technology
ABB,27.55,1.73559823,0.47,Strong Buy,1263833,56646800000,10.25252716,2.6421,144400,Producer Manufacturing
ABBV,103.74,0.91439689,0.94,Buy,2272412,183211649250,21.73959016,4.7442,30000,Health Technology
ABC,97.79,1.10628619,1.07,Sell,374985,19977692500,,-16.7364,22000,Distribution Services
ABCL,43.995,-6.6320034,-3.125,,1121209,11631747000,,,107,Health Technology
ABEV,3.03,0,0,Buy,7198694,47672200000,25.41946309,0.1202,50000,Consumer Non-Durables
ABMD,306.62,1.41897926,4.29,Buy,98404,13856127138,66.38924878,4.6093,1536,Health Technology
ABNB,160.7339,-1.50505546,-2.4561,Strong Buy,5245944,96812300000,,-1.7704,,Technology Services
ABT,108.05,-0.21241226,-0.23,Buy,1456485,191468050800,57.40642562,1.9016,107000,Health Technology
ACGL,35.115,1.54713707,0.535,Buy,691058,14259668240,12.38849282,2.8462,4300,Finance
ACN,258.48,-0.381547,-0.99,Buy,876478,170817449950,31.94538493,8.2583,506000,Technology Services
ADBE,500.28,-0.77156515,-3.89,Buy,853100,239955443800,46.53203998,10.9534,,Technology Services
ADI,143.98,-0.20792903,-0.3,Buy,1069339,53191060600,43.96501813,3.3107,15900,Electronic Technology
ADM,49.515,1.6109173,0.785,Buy,664138,27535691610,17.25994404,2.8364,38100,Process Industries
ADP,175.71,-0.35726438,-0.63,Buy,452323,75355484220,30.6103319,5.7829,58000,Technology Services
ADSK,301.54,-0.76350951,-2.32,Buy,390161,66318522400,157.48121275,1.9525,10100,Technology Services
AEE,75.6,-1.24101894,-0.95,Strong Sell,781470,18691321270,22.37518999,3.4441,9323,Utilities
AEM,71.08,1.31128848,0.92,Buy,377473,17271800280,26.66938532,2.65004679,11101,Non-Energy Minerals
AEP,80.85,-0.67567568,-0.55,Strong Sell,1277909,40133131500,21.09245439,3.8714,17408,Utilities
AES,23.405,2.56354075,0.585,Buy,2773608,15574042365,,-0.5307,,Utilities
AFL,43.5,1.09226121,0.47,Buy,1310946,30563381950,6.72743191,6.4186,11729,Finance
AGR,44.86,0.96781454,0.43,Sell,225821,13894722241,21.55749636,2.0614,6597,Utilities
AI,168.1402,-5.25711388,-9.3298,Buy,9432938,15574499435,,,,Technology Services
AIG,37.52,1.95652174,0.72,Sell,2507741,32333070780,,-5.7874,46000,Finance
AJG,123.2,-0.49269041,-0.61,Buy,228811,23688300740,30.97108265,4.088,33300,Finance
AKAM,107.54,0.84396099,0.9,Strong Buy,632534,17501982940,31.23517179,3.4681,7724,Technology Services
ALB,150.845,3.1277774,4.575,Buy,1236427,16072877860,40.8575419,3.5909,6000,Process Industries
ALC,64.63,0.26372944,0.17,Buy,303390,32295611000,,-1.52979592,22142,Health Technology
ALGN,529.63,-1.29707971,-6.96,Buy,167447,41739459240,24.40443163,22.1125,14530,Health Technology
ALL,106.23,0.03766833,0.04,Buy,617703,32301143640,7.44221577,14.4591,46290,Finance
ALLE,113.06,0.59613845,0.67,Buy,158010,10398566220,34.63162111,3.263,11000,Producer Manufacturing
ALLY,35.02,2.39766082,0.82,Strong Buy,2121998,13090602855,16.75813407,2.0533,8700,Finance
ALNY,138.29,-0.01446027,-0.02,Buy,329181,16052728770,,-7.8312,1323,Health Technology
ALXN,153.39,-0.27306417,-0.42,Buy,2241603,33556175820,35.94363432,4.3301,3082,Health Technology
AMAT,84.95,-0.80569827,-0.69,Buy,2260624,77664379360,21.84470972,3.9537,24000,Producer Manufacturing
AMCR,11.59,0.7826087,0.09,Buy,1080911,18170840800,24.54642476,0.4703,47000,Process Industries
AMD,92.28,-0.94461142,-0.88,Buy,21320894,111000150507,128.60298178,0.7507,11400,Electronic Technology
AME,118.87,1.02838688,1.21,Buy,244689,27350127200,31.12122094,3.8078,18100,Producer Manufacturing
AMGN,222.26,0.57468664,1.27,Strong Sell,1075548,134620759560,18.42689016,12.4861,23400,Health Technology
AMP,188.95,2.10202097,3.89,Buy,274998,22273066620,13.25882142,14.2465,12500,Finance
AMT,218.9,-0.72112114,-1.59,Sell,835372,97944500000,52.0748211,4.2596,5454,Finance
AMX,14.225,2.70758123,0.375,Buy,1406113,31713500000,33.99607266,0.4074,191523,Communications
AMZN,3199.015,-0.23405436,-7.505,Buy,1427262,1605101449000,93.90341758,34.8018,798000,Retail Trade
ANET,289,-0.62581666,-1.82,Buy,159361,21866930115,32.57611399,9.354,2300,Electronic Technology
ANSS,362.63,0.08832216,0.32,Buy,200935,31157875462,82.12666606,4.4928,4100,Technology Services
ANTM,310.06,2.22881635,6.76,Sell,489553,77140519680,15.67855094,19.6331,70600,Health Services
AON,207.635,-0.76231898,-1.595,Buy,727051,47458395440,26.99149864,7.7966,50000,Finance
APD,267.92,1.48100451,3.91,Sell,466260,59228974305,30.88341951,8.596,19275,Process Industries
APH,129.45,0.45006596,0.58,Buy,591048,38722623200,33.947105,3.9152,74000,Electronic Technology
APO,48.285,0.74066347,0.355,Buy,365588,19490143930,,-0.8322,1421,Finance
APPN,156.66,-1.70661313,-2.72,Buy,512887,10966165627,,-0.5577,1018,Technology Services
APTV,129.15,3.28694818,4.11,Buy,900445,34872378625,18.77900428,6.6712,141000,Producer Manufacturing
ARE,173.23,-1.51230883,-2.66,Buy,248983,23735300000,40.66068704,4.3447,439,Finance
ARGX,304.96,-0.46022783,-1.41,Buy,36808,14401800000,,-8.5661,188,Health Technology
ASML,477.35,0.24570541,1.17,Buy,283877,199906000000,53.2610033,8.9578,24900,Producer Manufacturing
ASX,5.51,-0.36166365,-0.02,Buy,574567,11794400000,15.05991285,0.3755,,Electronic Technology
ATHM,98,0.91648646,0.89,Buy,103468,11563600000,24.215146,4.03,4198,Technology Services
ATO,92.19,-0.15163002,-0.14,Sell,339529,11618090660,18.83939685,4.9053,4694,Utilities
ATUS,36.255,0.1519337,0.055,Buy,6618923,19603832888,201.44685587,0.1803,10700,Consumer Services
ATVI,90.24,0.9170208,0.82,Buy,3378756,69734887110,31.32707399,2.8749,9200,Consumer Durables
AVB,156.61,-1.22981837,-1.95,Strong Sell,295642,22136400000,34.09965806,4.6502,3122,Finance
AVGO,427.99,-1.17986608,-5.11,Buy,596258,173166878100,68.74603175,6.6084,21000,Electronic Technology
AVLR,182.675,-0.60667066,-1.115,Buy,229007,15451949139,,-0.639,1452,Technology Services
AVTR,27.02,-0.88041086,-0.24,Buy,1481995,15638286560,224.54695222,0.1246,12000,Process Industries
AVY,153.5,1.14654718,1.74,Buy,135012,12800863154,24.23700391,6.3183,30000,Process Industries
AWK,147.69,-0.24989869,-0.37,Sell,387653,26779312560,40.57105278,3.6575,6800,Utilities
