Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AA,22.295,3.16982878,0.685,Buy,2344234,4146239000,,-2.5252,13800,Non-Energy Minerals
AAL,15.91,2.77777778,0.43,Buy,55016447,9632673078,,-13.8445,133700,Transportation
AAON,65.33,1.57027363,1.01,Strong Buy,66801,3416633340,44.67287123,1.4604,2290,Producer Manufacturing
AAXN,131.59,2.40466926,3.09,Buy,414452,8356811850,,-0.6636,1323,Electronic Technology
AB,33.33,-0.11986815,-0.04,Buy,175313,3213695370,12.12572674,2.7522,3811,Finance
ABCB,37.29,3.69855395,1.33,Buy,118576,2591300745,10.90688505,3.3047,2722,Finance
ABCM,20.105,0.92871486,0.185,Strong Buy,18081,4504360000,251.51515152,0.0806,1500,Health Technology
ABG,140.02,1.75132621,2.41,Buy,61663,2699005725,12.74390865,10.8974,8500,Retail Trade
ABM,38.16,-0.72840791,-0.28,Sell,197947,2549180960,,0.0033,114000,Commercial Services
ACA,54.35,0.33228724,0.18,Strong Buy,162046,2622850516,22.55579614,2.4266,6275,Producer Manufacturing
ACAD,55.32,-0.48569887,-0.27,Buy,437892,8786714060,,-1.7144,503,Health Technology
ACC,42.38,-2.79816514,-1.22,Buy,271776,6000760000,85.82677165,0.5139,3096,Finance
ACCD,55,1.81414291,0.98,Buy,324864,3027431196,,-1.1683,1250,Technology Services
ACHC,49.03,1.21800165,0.59,Strong Buy,270545,4369467920,42.79151943,1.1413,42800,Health Services
ACI,15.835,0.15812777,0.025,Strong Buy,1582534,7472643930,9.04307041,1.802,,Retail Trade
ACIA,72.15,0.44549631,0.32,Buy,390916,3040689600,44.99217037,1.6469,429,Electronic Technology
ACIW,38.23,0.73781291,0.28,Buy,296942,4463811260,74.29522318,0.5264,4018,Technology Services
ACM,48.73,1.66910077,0.8,Buy,424351,7350498820,,-1.1657,54000,Industrial Services
ADC,64.485,-0.13164008,-0.085,Sell,315817,3575270000,34.94047619,1.8689,41,Finance
ADCT,36.29,0.80555556,0.29,Buy,223034,2784020011,,,127,Health Technology
ADNT,35.155,1.22372589,0.425,Buy,242562,3297543232,,-5.8294,77000,Producer Manufacturing
ADPT,65.31,-0.12234287,-0.08,Buy,533500,8935314760,,-0.9513,453,Commercial Services
ADS,71.21,5.18463811,3.51,Buy,658898,3402564340,11.31974518,5.9895,8500,Technology Services
ADT,8.17,0.49200492,0.04,Buy,1112595,6669545342,,,17500,Commercial Services
AEG,3.815,4.23497268,0.155,Buy,1934259,7766902170,8.24324324,0.444,23757,Finance
AEIS,97.76,-0.18378599,-0.18,Buy,113749,3741539152,36.59119779,2.6902,10917,Electronic Technology
AEL,27.725,2.60917839,0.705,Buy,286364,2555312090,2.88090415,9.4281,608,Finance
AEO,20.1982,3.84678663,0.7482,Buy,1580339,3360240480,,-1.2465,46000,Retail Trade
AER,42.415,3.52697095,1.445,Buy,700570,5508184650,,-0.2104,390,Finance
AFG,86.42,2.10302457,1.78,Sell,133937,7500733554,30.25558534,2.8386,6800,Finance
AFYA,24.24,-0.04123711,-0.01,Sell,75037,2260168264,37.49226964,0.6500406,,Consumer Services
AG,12.65,3.6036036,0.44,Buy,4969600,2798660700,,-0.25131948,5015,Non-Energy Minerals
AGCO,103.99,0.86323957,0.89,Buy,245572,7782058050,38.22057461,2.7219,20961,Producer Manufacturing
AGI,8.75,-0.11415525,-0.01,Sell,2620429,3860221340,35.13545954,0.26838855,2266,Non-Energy Minerals
AGIO,43.62,4.22939068,1.77,Buy,458894,3022151373,,-4.9308,536,Health Technology
AGNC,15.7,1.74983798,0.27,Buy,5525459,8412620000.000001,,-0.5057,51,Finance
AGO,31.43,3.42217835,1.04,Buy,354269,2543779176,7.70342205,3.9646,441,Finance
AHCO,38.09,-1.1419673,-0.44,Buy,525338,2731412008,,-0.0612,2590,Finance
AIMC,55.33,3.22761194,1.73,Buy,128029,3581272760,,-0.2998,9200,Producer Manufacturing
AIN,73.8,2.47153568,1.78,Buy,40765,2266888000,23.23900487,3.0998,4600,Process Industries
AIT,77.43,0.11636928,0.09,Buy,31919,2996535600,156.84445346,0.5175,6200,Distribution Services
AIZ,132.18,0.52475473,0.69,Buy,157486,7846598268,19.99726252,6.7788,14200,Finance
AJRD,52.87,0.13257576,0.07,Buy,1025599,4043076390,34.53689168,1.6242,4814,Electronic Technology
AL,42.7,4.81099656,1.96,Buy,417415,4867465620,8.35760883,4.889,117,Finance
ALE,59.695,0.53048164,0.315,Buy,130343,3107579271,17.41655423,3.4159,1339,Utilities
ALGM,25.4252,-7.00365764,-1.9148,Sell,724061,4812519960,,,,Electronic Technology
ALGT,179.72,2.60333409,4.56,Buy,56415,2945520940,,-6.0432,4363,Transportation
ALK,51.795,2.86991063,1.445,Buy,1590347,6405176880,,-5.6404,24134,Transportation
ALKS,21.26,-1.02420857,-0.22,Buy,488063,3381937500,,-0.4645,2235,Health Technology
ALLK,148.28,2.96507187,4.27,Buy,286389,7747911981,,-2.7419,90,Health Technology
ALLO,27.88,1.19782214,0.33,Sell,663807,3911006400,,-2.1315,206,Health Technology
ALRM,101.05,0.74775673,0.75,Buy,487885,4961304342,67.81609195,1.5334,1160,Technology Services
ALSN,43.635,1.38243494,0.595,Strong Buy,250054,4914145665,14.46479583,2.9832,3700,Producer Manufacturing
ALTR,59.09,1.12955673,0.66,Buy,104298,4351674229,,-0.1938,2950,Technology Services
ALV,93.52,1.57488867,1.45,Buy,182905,8174353313,52.36010009,1.7661,59000,Producer Manufacturing
ALVR,46.76,1.71851207,0.79,Buy,416007,2841665531,,,,Health Technology
ALXO,89.64,-3.23834197,-3,Buy,65269,3529195313,,,,Commercial Services
AM,8.465,0.65398335,0.055,Buy,3643632,4034749135,,-0.6967,547,Industrial Services
AMBA,94.05,2.27272727,2.09,Buy,371106,3308278320,,-1.7576,761,Electronic Technology
AMED,292.1555,1.12336022,3.2455,Buy,84651,9586899995,57.80743527,5.114,21300,Health Services
AMG,102.435,3.04295343,3.025,Buy,182409,4641878477,42.95467312,2.3241,4000,Finance
AMH,29.345,-1.65884718,-0.495,Buy,790687,9437290000,110.97062105,0.2694,1324,Finance
AMKR,15.14,1.00066711,0.15,Buy,342106,3670632440,11.66264685,1.2888,29650,Electronic Technology
AMN,69.73,0.86792999,0.6,Strong Buy,168169,3271932756,37.0471597,1.8823,3236,Commercial Services
AMRC,52.37,-1.59714393,-0.85,Buy,276689,2504354352,48.95143488,1.1127,1127,Industrial Services
AMWL,30.6,6.47181628,1.86,Strong Buy,1820699,7189665809,,,686,Technology Services
AN,68.07,2.25326724,1.5,Buy,260652,5983606500,15.17264957,4.435,25000,Retail Trade
ANAT,92.95,0.37796976,0.35,Buy,14516,2499146650,7.49415278,12.3613,,Finance
ANGI,12.84,0.62695925,0.08,Buy,798668,6409899090,828.57142857,0.0164,5000,Technology Services
AOS,55.3,-0.1083815,-0.06,Sell,338769,8932078034,28.53314091,1.9552,15100,Producer Manufacturing
APA,14.86,5.2407932,0.74,Buy,5793027,5609323080,,-20.7775,3163,Energy Minerals
APAM,49.735,0.23176139,0.115,Buy,130476,3054997243,16.84260548,2.9462,440,Finance
APG,17.93,0.27964206,0.05,Buy,448896,3107161420,,,14700,Finance
APHA,7.41,4.07303371,0.29,Buy,7653999,2347087860,,-0.35795694,1200,Distribution Services
API,39.79,-10.34249662,-4.59,Strong Sell,2146740,3674860000,,-2.1468,447,Technology Services
APLE,12.995,1.92156863,0.245,Buy,735011,2846640000,,-0.4325,67,Finance
APLS,55.135,-0.88980766,-0.495,Buy,180422,4179162142,,-7.4262,235,Health Technology
APPF,181.77,-0.37816508,-0.69,Buy,85769,6247733128,39.83060097,4.7644,1240,Technology Services
APPS,56.833,-4.81828839,-2.877,Buy,2267386,5037108309,201.04377104,0.3159,207,Technology Services
AQN,16.14,1.31826742,0.21,Buy,298735,9451421890,18.97832456,0.84521804,2469,Utilities
AQUA,26.9,1.28012048,0.34,Buy,692369,3189903720,28.22529224,0.9785,4020,Industrial Services
ARCE,36.83,2.33398166,0.84,Sell,127664,2121986909,212.83264341,0.1704114,1423,Technology Services
ARCT,103.79,-12.38392706,-14.67,Buy,1163271,2663901462,,-2.8927,,Health Technology
ARD,17.77,0.85130533,0.15,Buy,23275,4200131416,,-0.2327,16340,Process Industries
ARES,49.27,0.10158472,0.05,Buy,230096,7094513400,91.86263531,0.5782,1200,Finance
ARMK,37.48,1.13329736,0.42,Buy,358249,9497700240,,-1.8162,247900,Consumer Services
ARNA,76.725,1.68986083,1.275,Strong Buy,194480,4464668640,,-7.053,320,Health Technology
ARNC,28.63,0.59732959,0.17,Buy,362782,3132461500,19.53596925,1.4584,15400,Non-Energy Minerals
ARRY,45.425,2.60899029,1.155,Buy,2282608,5775687120,,,,Electronic Technology
ARVN,79.14,-1.94523603,-1.57,Buy,650373,3750003495,,-2.5679,133,Health Technology
ARW,96.885,1.06926768,1.025,Buy,175143,7319196702,16.61035158,5.8219,19300,Distribution Services
ARWR,84.7,2.25763612,1.87,Strong Buy,432584,8688104350,,-0.8294,232,Health Technology
ASAN,30.14,-0.72463768,-0.22,Buy,658862,4772122291,,-1.1055,701,Technology Services
ASB,17.02,3.97067807,0.65,Buy,493298,2615637700,8.65084817,1.9039,,Finance
ASGN,84.025,1.60217654,1.325,Buy,59946,4444922500,23.87482318,3.4996,67700,Commercial Services
ASH,78.725,1.1109684,0.865,Strong Buy,254975,4766316380,,-8.2259,4500,Process Industries
ASND,174.18,-2.55664336,-4.57,Buy,126420,9548130000,,-8.1757,,Health Technology
ASR,159.57,-0.12517995,-0.2,Buy,53186,4426430000,33.82950792,4.7228,,Transportation
ATCO,10.45,4.08366534,0.41,Sell,489402,2572264560,10.97987752,0.9445,4400,Finance
ATH,42.43,3.28627069,1.35,Buy,350420,8131476080,9.57464165,4.4261,1325,Finance
ATI,16.725,2.79655808,0.455,Buy,718620,2122899840,,-3.1177,8100,Non-Energy Minerals
ATR,135.23,0.54275093,0.73,Buy,85284,8740773625,42.6807984,3.2615,14000,Process Industries
ATRC,57.31,3.63471971,2.01,Buy,210961,2578928896,,-1.156,730,Health Technology
AU,22.88,1.55348424,0.35,Neutral,948295,9392400000,32.70431122,0.6893,,Non-Energy Minerals
AUB,32.59,2.93746052,0.93,Buy,75561,2565442433,16.5438679,1.9145,1989,Finance
AUY,5.71,3.06859206,0.17,Buy,7374233,5448039499,45.84916357,0.12105559,9759,Non-Energy Minerals
AVA,39.7,0.91509914,0.36,Buy,190287,2730881280,21.790185,1.809,1920,Utilities
AVAL,6.83,0.29368576,0.02,Buy,50732,2432270000,11.21726239,0.6071,,Finance
AVAV,90.13,0.82783309,0.74,Buy,74797,2172975600,74.74705243,1.2107,823,Electronic Technology
AVIR,34.66,-4.28058547,-1.55,Strong Buy,219802,2850283050,,,,Health Technology
AVNS,46.37,0.23778642,0.11,Buy,172831,2218499178,160.79249218,0.2905,4700,Health Technology
AVNT,40.3041,0.109538,0.0441,Buy,148810,3688296192,54.17115178,0.7469,5600,Process Industries
AVT,34.815,2.24669604,0.765,Buy,777309,3440247933,,-0.9048,14600,Distribution Services
AWI,74.63,-0.45351474,-0.34,Sell,184878,3570455944,,-1.5096,2500,Producer Manufacturing
AWR,77.23,0.16861219,0.13,Buy,52453,2848945193,34.46888412,2.2409,841,Utilities
AX,37.33,1.63354206,0.6,Buy,95815,2203865823,11.44022924,3.2382,1099,Finance
AXS,50.48,0.57780434,0.29,Neutral,177805,4253999495,,-1.8535,1667,Finance
AXSM,84.495,-2.34049931,-2.025,Buy,252818,3165854555,,-2.6986,45,Health Technology
AXTA,28.685,1.36042403,0.385,Buy,969456,6752302975,71.82741117,0.3969,14000,Process Industries
AY,40.71,5.35714286,2.07,Buy,1382672,4342576410,62.79863481,0.6153,425,Utilities
AYI,118.22,2.87156283,3.3,Buy,305128,4355155749,18.33615215,6.2956,11500,Producer Manufacturing
AYX,130.3176,-1.57280967,-2.0824,Buy,883638,8679458641,,-0.2336,1200,Technology Services
AZEK,39.09,0.12807377,0.05,Buy,383590,6041671497,,-0.9065,1663,Producer Manufacturing
