Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AAN,17.03,-0.58377116,-0.1,Sell,313122,575923425,,,10100000,Retail Trade
AAT,28.09,-0.03558719,-0.01,Sell,85571,1693950000,44.62442433,0.6298,206,Finance
AAWW,56.1,-0.01782214,-0.01,Buy,141165,1545646741,,-9.1056,3587,Transportation
ABR,14.2,1.8651363,0.26,Buy,360158,1720130000,15.2166794,0.9333,532,Finance
ABST,11.79,-3.59771055,-0.44,Buy,15674,575763499,55.79310963,0.23275313,499,Technology Services
ABTX,33.61,3.03494788,0.99,Buy,39772,687240475,15.46924646,2.1259,588,Finance
ABUS,4.08,0.99009901,0.04,Buy,2364806,347576220,,-1.2282,80,Health Technology
AC,35.9,2.4835855,0.87,Sell,5899,800754813,,-0.9482,39,Finance
ACAM,10.47,0.57636888,0.06,Strong Buy,413185,399151649,484.18604651,0.0215,4,Finance
ACAMU,10.5,-4.54545455,-0.5,Sell,401,420160000,,,,Finance
ACB,9.4437,5.7525196,0.5137,Buy,16696901,1730957800,,-24.78667415,2731,Process Industries
ACBI,15.48,1.64149705,0.25,Buy,39160,321665112,16.79347227,0.9112,204,Finance
ACCO,8.505,-2.46559633,-0.215,Buy,305280,805112736,11.20966705,0.7888,7000,Producer Manufacturing
ACEL,10.87,1.68381665,0.18,Buy,283205,1013962296,,-0.1956,730,Consumer Services
ACH,8.44,-0.93896714,-0.08,Sell,214245,1344110000,81.37535817,0.1047,65507,Non-Energy Minerals
ACIU,5.52,0.1814882,0.01,Buy,109869,396661680,,-0.8982,132,Health Technology
ACLS,28.92,-0.24146257,-0.07,Buy,81620,969374240,21.90073279,1.3642,960,Electronic Technology
ACMR,70.68,-3.28407225,-2.4,Sell,382311,1304169248,109.02580934,0.7821,361,Producer Manufacturing
ACRE,12.27,3.36983993,0.4,Buy,173016,396955000,22.41314199,0.5371,1200,Finance
ACRS,7.48,6.70470756,0.47,Buy,841160,322967733,,-1.3478,77,Health Technology
ADAP,5.51,3.57142857,0.19,Buy,1264539,823293000,,-0.9633,400,Health Technology
ADTN,15,-0.06662225,-0.01,Buy,98360,719822562,,-0.3421,1790,Electronic Technology
ADUS,114.81,0.0610075,0.07,Buy,69456,1814996847,52.66201579,2.2323,33238,Health Services
ADV,13.255,-2.10487445,-0.285,Buy,672641,744187500,,-0.049,2,Commercial Services
ADVM,12.245,-5.1510457,-0.665,Strong Sell,436070,989657709,,-1.2775,114,Health Technology
AEGN,18.97,2.40215924,0.445,Buy,22645,583761913,,-1.3266,4900,Industrial Services
AENZ,2.45,6.52173913,0.15,Buy,36827,401082000,,-1.6619,,Industrial Services
AERI,14.535,0.9375,0.135,Buy,344230,680453118,,-4.194,380,Health Technology
AFIB,31.075,9.84446801,2.785,Buy,109345,858356033,,,219,Health Technology
AFIN,7.63,0.39473684,0.03,Sell,242524,827161000,,-0.396,,Finance
AFMD,6.545,-0.53191489,-0.035,Buy,619310,578976930,,-0.5853,128,Health Technology
AGEN,3.4613,0.91253644,0.0313,Sell,1020837,657915540,,-1.0881,328,Health Technology
AGLE,8.57,-0.92485549,-0.08,Buy,108400,410820947,,-1.9992,76,Health Technology
AGM,74.13,2.74428274,1.98,Buy,32131,795859013,8.75861902,8.2825,103,Finance
AGMH,15.13,0.398142,0.06,Buy,2800,330307569,,-0.0654,48,Finance
AGRO,6.1229,-0.44065041,-0.0271,Buy,60037,723659428,,-0.3212,8237,Process Industries
AGX,44.315,1.10654803,0.485,Sell,44117,694910100,98.76070302,0.4527,1154,Industrial Services
AGYS,41.93,0,0,Buy,52619,989179016,,-1.1163,1275,Technology Services
AHH,10.95,0.92165899,0.1,Buy,133341,628584000,24.02568645,0.4516,169,Finance
AIO,25.605,0.3330721,0.085,Buy,97153,875926000,,,,Miscellaneous
AIR,35.65,-0.6133259,-0.22,Buy,208864,1258523418,,-0.5926,5400,Electronic Technology
AIV,5.02,-1.18110236,-0.06,Sell,8224987,756239000,4.89921883,1.2859,950,Finance
